City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Tiksi,RU,71.6872,128.8694,39.97,96,79,3.74,broken clouds
198,Aleksandrovskiy Zavod,RU,50.9237,117.9374,54.66,86,35,4.7,scattered clouds
199,Ixtapa,MX,20.7,-105.2,91.22,62,40,5.01,scattered clouds
200,Kumluca,TR,36.3703,30.2869,83.48,68,0,2.06,clear sky
201,Tuatapere,NZ,-46.1333,167.6833,45.72,94,71,5.14,broken clouds
202,Talara,PE,-4.5772,-81.2719,72.36,68,0,16.11,clear sky
203,Hamilton,US,39.1834,-84.5333,82.31,100,75,10.36,broken clouds
204,Karasburg,NA,-28.0167,18.75,64.45,27,100,1.34,overcast clouds
205,Sitka,US,57.0531,-135.33,57.09,88,100,10.36,moderate rain
206,Hammerfest,NO,70.6634,23.6821,54.05,66,20,10.36,few clouds
207,Sirjan,IR,29.452,55.6814,81.3,23,0,15.84,clear sky
208,Mbini,GQ,1.574,9.6134,76.53,78,75,11.52,broken clouds
209,Korla,CN,41.7597,86.1469,87.08,23,72,8.05,broken clouds
210,Ugoofaaru,MV,5.6667,73.0,80.8,81,100,15.37,overcast clouds
211,Harper,LR,4.375,-7.7169,76.15,77,100,8.19,overcast clouds
212,Bandarbeyla,SO,9.4942,50.8122,76.37,82,0,33.64,clear sky
213,Caravelas,BR,-17.7125,-39.2481,78.4,62,98,9.93,overcast clouds
214,Kuching,MY,1.55,110.3333,73.62,94,20,3.44,few clouds
215,Raesfeld,DE,51.7667,6.85,71.06,46,60,8.16,broken clouds
216,Guerrero Negro,MX,27.9769,-114.0611,78.49,63,1,13.65,clear sky
217,Natchez,US,31.5604,-91.4032,86.22,66,75,12.66,broken clouds
218,Belyy Yar,RU,53.6039,91.3903,56.86,70,0,2.24,clear sky
219,Bialogard,PL,54.007,15.9875,73.94,87,97,11.74,overcast clouds
220,Victoria Point,AU,-27.5833,153.3,63.91,91,88,7.45,light rain
221,Ilinskoye-Khovanskoye,RU,56.9718,39.7684,73.8,52,91,5.97,overcast clouds
222,Broken Hill,AU,-31.95,141.4333,45.39,70,0,14.54,clear sky
223,Svetlogorsk,BY,52.6333,29.7333,73.81,72,32,7.94,scattered clouds
224,Tukrah,LY,32.5341,20.5791,80.64,72,0,8.95,clear sky
225,Kamskoye Ustye,RU,55.2016,49.268,73.4,68,35,5.99,scattered clouds
226,Voyinka,UA,45.8699,33.9914,75.85,65,57,4.41,light rain
227,Wakkanai,JP,45.4094,141.6739,65.48,89,98,3.53,overcast clouds
228,Stromness,GB,58.965,-3.296,57.16,80,21,15.99,few clouds
229,Namie,JP,37.4833,141.0,68.72,92,93,3.76,overcast clouds
230,Karaton,ID,-6.3424,106.1045,72.23,92,94,1.3,overcast clouds
231,Ancud,CL,-41.8697,-73.8203,45.23,66,82,8.25,broken clouds
232,Saint-Pierre,RE,-21.3393,55.4781,67.68,77,0,4.61,clear sky
233,Narsaq,GL,60.9167,-46.05,50.22,92,100,3.85,overcast clouds
234,Chulman,RU,56.8479,124.9104,48.31,98,100,10.27,moderate rain
235,Calvinia,ZA,-31.4707,19.776,54.37,45,64,2.73,broken clouds
236,Rawson,AR,-43.3002,-65.1023,46.35,59,30,20.78,scattered clouds
237,Souillac,MU,-20.5167,57.5167,70.18,83,75,11.5,broken clouds
238,Honiara,SB,-9.4333,159.95,76.5,88,29,4.29,scattered clouds
239,Pevek,RU,69.7008,170.3133,34.95,98,100,4.52,light snow
240,Bengkulu,ID,-3.8004,102.2655,74.07,83,100,3.65,overcast clouds
241,Bosaso,SO,11.2842,49.1816,91.62,47,83,3.49,broken clouds
242,Roald,NO,62.5833,6.1333,60.91,71,75,21.85,light rain
243,Manzhouli,CN,49.6,117.4333,59.95,68,10,7.83,clear sky
244,Yinchuan,CN,38.4681,106.2731,87.37,44,34,7.2,scattered clouds
245,Miranda,CO,3.2499,-76.2281,82.65,64,57,2.89,broken clouds
246,Verkhoyansk,RU,67.5447,133.385,55.44,59,100,1.77,overcast clouds
247,Thinadhoo,MV,0.5333,72.9333,82.11,73,100,11.14,overcast clouds
248,Grand Gaube,MU,-20.0064,57.6608,70.38,68,3,4.0,clear sky
249,Asadabad,IR,34.7824,48.1185,85.95,21,76,4.9,broken clouds
250,Bahia Blanca,AR,-38.7196,-62.2724,52.92,44,82,7.92,broken clouds
251,La Rioja,ES,42.25,-2.5,73.18,63,33,6.71,scattered clouds
252,Opuwo,NA,-18.0607,13.84,74.59,28,0,7.09,clear sky
253,Zhigansk,RU,66.7697,123.3711,48.92,91,100,18.77,moderate rain
254,Samarinda,ID,-0.5,117.15,72.52,99,52,2.95,broken clouds
255,San Antonio,US,29.4241,-98.4936,96.06,51,0,12.66,clear sky
256,Paamiut,GL,61.994,-49.6678,45.68,91,100,15.57,light rain
257,Hofn,IS,64.2539,-15.2082,57.22,62,0,11.5,clear sky
