City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
159,Bethel,US,2022-08-02 23:08:26,41.3712,-73.414,87.76,84,100,3.44
160,Nalut,LY,2022-08-02 23:08:26,30.3333,10.85,87.69,28,32,13.49
161,Sola,VU,2022-08-02 23:08:27,-13.8833,167.55,81.46,78,4,15.12
162,Beloha,MG,2022-08-02 23:07:21,-25.1667,45.05,62.11,69,0,11.65
163,Brae,GB,2022-08-02 23:08:27,60.3964,-1.353,56.59,93,100,20.51
164,East London,ZA,2022-08-02 23:03:42,-33.0153,27.9116,65.68,61,75,6.31
165,Tasiilaq,GL,2022-08-02 23:08:27,65.6145,-37.6368,42.96,60,18,4.07
166,Lipari,IT,2022-08-02 23:08:28,38.4674,14.954,79.27,56,0,6.26
167,Tomari,RU,2022-08-02 23:08:28,47.7658,142.0683,64.35,85,100,1.23
168,Bara,NG,2022-08-02 23:08:28,10.3744,10.7288,70.2,96,94,6.31
169,Chokurdakh,RU,2022-08-02 23:08:28,70.6333,147.9167,55.31,59,100,7.31
170,Gamba,GA,2022-08-02 23:08:29,-2.65,10.0,69.55,95,49,6.13
171,Itarema,BR,2022-08-02 23:08:29,-2.9248,-39.9167,78.62,82,36,15.12
172,Urusha,RU,2022-08-02 23:08:29,54.05,122.9,67.75,70,0,1.45
173,Nerchinskiy Zavod,RU,2022-08-02 23:06:34,51.3088,119.61,67.37,68,89,2.66
174,Port Hardy,CA,2022-08-02 23:08:29,50.6996,-127.4199,60.22,85,96,8.1
175,Dunedin,NZ,2022-08-02 23:06:40,-45.8742,170.5036,53.62,59,5,14.14
176,Yerbogachen,RU,2022-08-02 23:05:26,61.2767,108.0108,63.99,96,99,4.23
177,Kitimat,CA,2022-08-02 23:08:30,54.0524,-128.6534,61.92,28,100,1.99
178,Bereda,ES,2022-08-02 23:08:30,43.2686,-7.5406,68.41,100,52,5.82
179,Kabinda,CD,2022-08-02 23:08:30,-6.1333,24.4833,69.58,40,29,2.98
180,Saint-Augustin,CA,2022-08-02 23:09:31,51.226,-58.6502,64.72,89,56,17.69
181,Palembang,ID,2022-08-02 23:09:31,-2.9167,104.7458,75.29,94,75,0.0
182,Opuwo,NA,2022-08-02 23:09:31,-18.0607,13.84,48.11,12,92,2.89
183,Umm Lajj,SA,2022-08-02 23:09:32,25.0213,37.2685,85.33,59,34,6.08
184,Taoudenni,ML,2022-08-02 23:09:32,22.6783,-3.9836,104.36,10,44,4.07
185,Khatanga,RU,2022-08-02 23:09:32,71.9667,102.5,44.55,70,100,5.26
186,Srednekolymsk,RU,2022-08-02 23:09:32,67.45,153.6833,60.46,94,100,8.66
187,Winnemucca,US,2022-08-02 23:08:16,40.973,-117.7357,93.25,21,0,3.44
188,Saint-Michel-Des-Saints,CA,2022-08-02 23:09:33,46.6834,-73.9159,64.94,60,6,7.31
189,Kitami,JP,2022-08-02 23:09:33,43.8031,143.8908,65.66,97,100,5.44
190,Grindavik,IS,2022-08-02 23:09:33,63.8424,-22.4338,48.67,76,75,16.11
191,Tual,ID,2022-08-02 23:04:43,-5.6667,132.75,79.88,84,77,13.22
192,Taltal,CL,2022-08-02 23:09:34,-25.4,-70.4833,55.72,82,20,2.62
193,Kulhudhuffushi,MV,2022-08-02 23:09:34,6.6221,73.07,80.91,79,96,21.61
194,Walcz,PL,2022-08-02 23:09:34,53.2779,16.4712,62.76,61,94,4.54
195,Sandakan,MY,2022-08-02 23:09:34,5.8402,118.1179,76.26,92,97,4.36
196,Faanui,PF,2022-08-02 23:09:35,-16.4833,-151.75,78.46,65,36,23.42
197,Harper,LR,2022-08-02 23:09:35,4.375,-7.7169,75.31,72,100,6.82
198,Sao Filipe,CV,2022-08-02 23:09:35,14.8961,-24.4956,78.21,80,77,4.63
199,Pacific Grove,US,2022-08-02 23:09:36,36.6177,-121.9166,77.02,81,0,11.5
200,Ilebo,CD,2022-08-02 23:09:36,-4.3167,20.5833,78.94,53,92,3.67
201,Bubaque,GW,2022-08-02 23:09:36,11.2833,-15.8333,79.27,83,62,10.74
202,Mount Gambier,AU,2022-08-02 23:09:36,-37.8333,140.7667,53.51,87,75,17.27
203,Lhokseumawe,ID,2022-08-02 23:09:37,5.1801,97.1507,76.69,85,100,6.91
204,Polis,CY,2022-08-02 23:09:37,35.0367,32.4264,79.38,60,0,2.51
205,Peniche,PT,2022-08-02 23:09:37,39.3558,-9.3811,69.3,89,98,16.2
206,Oussouye,SN,2022-08-02 23:09:37,12.485,-16.5469,78.6,85,100,6.85
207,La Ronge,CA,2022-08-02 23:09:38,55.1001,-105.2842,57.42,88,75,12.66
208,Fortuna,US,2022-08-02 23:07:42,40.5982,-124.1573,74.93,73,0,14.97
209,Dali,CN,2022-08-02 23:09:38,25.7,100.1833,59.7,94,67,1.14
210,Tabou,CI,2022-08-02 23:09:38,4.423,-7.3528,75.31,72,100,6.82
211,Borba,BR,2022-08-02 23:09:39,-4.3878,-59.5939,81.61,67,87,2.46
212,General Roca,AR,2022-08-02 23:09:39,-39.0333,-67.5833,46.62,34,0,6.29
213,Shirokovskiy,RU,2022-08-02 23:09:39,58.8424,57.7832,49.95,83,4,2.98
214,Russell,US,2022-08-02 23:09:39,32.3502,-85.1999,85.96,61,0,5.75
215,Havelock,US,2022-08-02 23:09:40,34.8791,-76.9013,89.98,80,65,1.01
216,Kroya,ID,2022-08-02 23:09:40,-7.6331,109.2461,73.31,93,96,2.82
217,Sao Sebastiao,BR,2022-08-02 23:04:41,-23.76,-45.4097,65.59,92,5,3.44
218,Bandarbeyla,SO,2022-08-02 23:09:40,9.4942,50.8122,75.88,78,31,28.92
219,Yar-Sale,RU,2022-08-02 23:09:40,66.8333,70.8333,55.02,67,10,7.9
220,Requena,ES,2022-08-02 23:09:01,39.4883,-1.1004,72.52,59,12,3.09
221,Ulladulla,AU,2022-08-02 23:09:41,-35.35,150.4667,59.94,60,94,9.15
222,Henties Bay,NA,2022-08-02 23:09:41,-22.116,14.2845,53.01,78,0,5.57
223,Guaymas,MX,2022-08-02 23:06:27,27.9333,-110.9,93.88,70,40,17.27
224,Yazoo City,US,2022-08-02 23:10:41,32.8551,-90.4056,91.27,46,26,4.9
225,Chicama,PE,2022-08-02 23:10:41,-7.8447,-79.1469,59.54,78,19,8.84
226,Dongsheng,CN,2022-08-02 23:10:42,39.8161,109.9776,72.23,70,94,12.75
227,Ipora,BR,2022-08-02 23:10:42,-16.4419,-51.1178,75.0,26,6,0.94
228,San Cristobal,VE,2022-08-02 23:10:42,7.7669,-72.225,69.19,80,65,3.38
229,Shu,KZ,2022-08-02 23:10:42,43.5983,73.7614,72.48,53,97,5.79
230,Shaghat,AM,2022-08-02 23:10:43,39.5625,45.9143,62.29,83,47,5.66
231,Shingu,JP,2022-08-02 23:10:43,33.7333,135.9833,85.78,66,100,3.74
232,Mweka,CD,2022-08-02 23:10:43,-4.85,21.5667,72.43,62,36,1.86
233,Kiama,AU,2022-08-02 23:09:58,-34.6833,150.8667,58.57,66,96,7.0
234,Yelizovo,RU,2022-08-02 23:10:44,53.1873,158.3805,64.11,63,75,4.47
235,Dingle,PH,2022-08-02 23:10:44,10.9995,122.6711,78.71,88,97,4.74
236,Halifax,CA,2022-08-02 23:05:53,44.6453,-63.5724,72.52,97,100,1.01
237,Makakilo City,US,2022-08-02 23:10:44,21.3469,-158.0858,82.72,57,75,18.41
